PublicID,V3J_PublicID,V3J_Complete,V3J_Status,V3JVer,V3JDATE_INT,V3JA01a,V3JA01b,V3JA01c,V3JA01d,V3JA01e,V3JA01f,V3JA01g,V3JA01h,V3JA01i,V3JA01j,V3JA02a,V3JA02b,V3JA02c,V3JA02d,V3JA02e,V3JA02f,V3JA02g,V3JA02h,V3JA02i,V3JA02j
00093M,00093M,Complete,Passed,2,-73,4,3,4,2,4,3,3,4,4,3,2,3,3,2,2,2,2,2,2,1
00096G,00096G,Complete,Passed,2,-83,4,3,3,3,3,4,4,4,4,4,2,1,1,1,1,1,3,1,1,1
00098C,00098C,Complete,Passed,2,-99,4,3,2,2,3,3,3,2,3,3,3,2,2,2,1,3,3,2,2,1
00099A,00099A,Complete,Passed,2,-83,3,4,3,3,3,3,3,4,4,4,1,1,1,1,1,1,1,1,1,1
00105I,00105I,Complete,Passed,2,-84,4,4,3,3,3,3,3,3,4,4,2,1,2,3,3,2,2,1,2,2
00106G,00106G,Complete,Passed,2,-101,4,3,4,4,4,3,3,3,4,4,2,1,1,2,2,1,1,2,1,2
00107E,00107E,Complete,Passed,2,-75,4,3,2,2,3,2,1,2,4,4,2,1,2,3,3,3,1,2,2,3
00111N,00111N,Complete,Passed,2,-24,2,2,4,2,4,2,4,3,2,2,2,2,1,1,1,2,1,1,1,1
00112L,00112L,Complete,Passed,2,-105,4,4,4,3,3,3,3,3,4,3,1,2,1,2,2,2,2,1,1,1
00113J,00113J,Complete,Passed,2,-88,4,4,4,4,3,3,4,2,4,2,2,2,2,1,2,3,3,1,1,2
00116D,00116D,Complete,Passed,2,-82,4,4,3,4,3,2,4,2,3,3,2,2,2,2,2,3,2,1,3,1
00117B,00117B,Complete,Passed,2,-81,3,2,2,2,2,2,2,1,3,3,1,1,2,4,4,3,3,2,1,4
00118W,00118W,Complete,Passed,2,-76,4,4,4,3,4,4,4,4,3,4,1,1,1,1,1,1,1,1,1,1
00120M,00120M,Complete,Passed,2,-78,4,3,3,4,4,3,3,3,3,4,2,2,1,2,2,3,2,3,1,1
00121K,00121K,Complete,Passed,2,-84,4,4,4,3,3,4,4,4,4,3,1,1,1,4,4,2,1,1,1,4
00122I,00122I,Complete,Passed,2,-84,4,1,1,2,4,2,2,1,4,1,2,1,1,1,1,1,2,1,1,1
00123G,00123G,Complete,Passed,2,-98,4,4,2,2,2,1,1,2,3,2,1,1,2,1,1,1,1,1,2,1
00125C,00125C,Complete,Passed,2,-91,4,4,3,4,4,4,4,3,4,4,2,2,2,3,2,2,2,2,1,2
00126A,00126A,Complete,Passed,2,-70,3,4,4,3,2,2,4,4,4,3,1,1,4,1,2,1,4,2,4,1
00128T,00128T,Complete,Passed,2,-92,1,1,1,4,4,1,4,4,4,1,4,4,3,3,2,4,4,3,2,4
00130J,00130J,Complete,Passed,2,-83,4,1,2,1,1,1,1,1,2,1,3,1,1,2,2,2,2,1,2,2
00139O,00139O,Complete,Passed,2,-79,3,2,2,3,3,3,3,3,3,3,1,1,1,2,1,1,1,1,1,1
00142C,00142C,Complete,Passed,2,-75,4,2,3,1,3,3,4,2,4,2,1,2,2,2,2,2,2,1,1,1
00143A,00143A,Complete,Passed,2,-82,4,3,4,2,4,2,4,4,4,4,1,2,2,1,1,1,2,1,1,1
00148N,00148N,Complete,Passed,2,-95,4,4,3,3,4,3,2,2,3,3,2,1,1,1,1,3,2,1,1,1
00149L,00149L,Complete,Passed,2,-76,3,3,3,3,3,3,3,3,3,3,2,1,2,1,1,2,2,1,1,1
00150D,00150D,Complete,Passed,2,-80,4,3,3,3,3,2,3,3,4,3,1,2,2,1,2,2,2,1,1,1
00152W,00152W,Complete,Passed,2,-90,4,3,4,4,3,4,4,2,4,3,1,2,2,1,1,1,2,1,1,2
00153U,00153U,Complete,Passed,2,-75,4,1,4,3,3,2,2,2,4,1,3,1,2,1,1,2,3,3,3,2
00157M,00157M,Complete,Passed,2,-79,4,4,4,3,3,3,4,2,4,3,3,1,3,2,3,1,2,1,1,2
00158K,00158K,Complete,Passed,2,-80,4,3,2,2,2,3,2,2,4,2,2,2,3,3,3,2,3,4,3,3
00160A,00160A,Complete,Passed,2,-72,4,4,4,2,4,4,4,4,4,4,2,1,2,1,2,1,1,2,1,2
00170U,00170U,Complete,Passed,2,-94,3,3,3,4,3,2,3,3,3,2,3,2,2,2,3,4,2,2,3,2
00172Q,00172Q,Complete,Passed,2,-78,3,2,3,3,3,3,2,3,3,3,4,3,2,2,2,2,2,2,1,2
00173O,00173O,Complete,Passed,2,-94,4,3,3,4,4,1,3,1,3,4,3,1,2,2,1,1,1,2,4,2
00174M,00174M,Complete,Passed,2,-83,4,4,4,4,4,3,4,4,4,2,3,1,3,3,3,3,3,3,3,3
00175K,00175K,Complete,Passed,2,-89,3,4,3,4,4,3,4,3,4,4,1,1,2,2,2,1,2,1,1,1
00176I,00176I,Complete,Passed,2,-89,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1
00179C,00179C,Complete,Passed,2,-78,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
00180R,00180R,Complete,Passed,2,-77,4,4,4,4,4,4,4,4,4,4,1,1,2,2,2,2,2,1,1,1
00181P,00181P,Complete,Passed,2,-74,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,2,2,2,1,2
00182N,00182N,Complete,Passed,2,-94,4,1,2,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,1,2
00183L,00183L,Complete,Passed,2,-75,4,2,4,3,2,2,2,3,3,1,2,1,2,1,1,1,2,1,1,1
00184J,00184J,Complete,Passed,2,-104,4,4,3,1,1,2,2,2,2,1,2,2,4,4,2,4,4,4,4,4
00186F,00186F,Complete,Passed,2,-83,4,4,4,3,3,4,4,3,4,3,2,2,2,2,2,2,3,2,2,2
00187D,00187D,Complete,Passed,2,-80,4,1,2,3,2,2,2,1,3,2,2,2,2,1,1,3,3,2,1,1
00188B,00188B,Complete,Passed,2,-78,4,4,2,4,3,3,1,1,4,4,3,3,2,2,1,1,2,2,1,1
00189W,00189W,Complete,Passed,2,-82,3,3,3,3,4,3,2,2,4,3,2,1,2,2,2,2,2,1,1,2
00192K,00192K,Complete,Passed,2,-108,4,3,3,1,4,1,1,1,2,3,1,3,1,2,2,2,1,1,1,2
00193I,00193I,Complete,Passed,2,-88,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2
00196C,00196C,Complete,Passed,2,-89,3,3,4,4,3,3,4,4,4,3,2,2,1,1,1,2,2,1,1,1
00197A,00197A,Complete,Passed,2,-91,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
00199T,00199T,Complete,Passed,2,-92,4,3,2,3,3,3,3,2,3,3,2,2,2,2,2,2,2,1,2,2
00200O,00200O,Complete,Passed,2,-442,4,4,4,3,3,3,3,3,4,3,2,2,2,2,2,2,3,2,2,1
00202K,00202K,Complete,Passed,2,-77,4,3,4,3,3,3,4,3,4,2,1,2,2,2,2,1,1,1,1,1
00205E,00205E,Complete,Passed,2,-88,3,2,3,2,3,3,1,2,2,3,2,1,1,1,1,2,2,2,2,2
00207A,00207A,Complete,Passed,2,-91,4,1,4,4,4,4,3,4,4,2,3,3,1,1,1,1,1,1,1,1
00214D,00214D,Complete,Passed,2,-84,3,3,3,2,3,3,2,2,3,2,2,2,2,3,2,2,2,2,2,3
00215B,00215B,Complete,Passed,2,-75,4,3,3,3,3,3,3,3,4,3,2,1,2,1,1,1,2,2,2,2
