PublicID,V3C_PublicID,V3C_Complete,V3C_Status,V3CVer,V3CDATE_INT,V3CA01,V3CA02,V3CA03,V3CA04,V3CA05,V3CA06,V3CA07,V3CA08,V3CA09,V3CA10
02028N,02028N,Complete,Passed,2,-95,1,1,3,2,2,3,3,3,3,4
02029L,02029L,Complete,Passed,2,-92,1,1,4,2,4,3,4,4,4,4
02031B,02031B,Complete,Passed,2,-81,1,1,4,1,4,3,4,4,4,4
02032W,02032W,Complete,Passed,2,-77,1,1,4,1,4,4,4,4,3,4
02033U,02033U,Complete,Passed,2,-99,1,1,1,2,3,3,3,4,3,4
02035Q,02035Q,Complete,Passed,2,-80,1,1,4,4,2,3,4,3,3,4
02038K,02038K,Complete,Passed,2,-99,1,1,3,3,3,3,4,4,4,4
02040A,02040A,Complete,Passed,2,-78,1,1,3,1,4,4,4,4,4,4
02045N,02045N,Complete,Passed,2,-98,1,1,3,2,4,3,4,4,4,4
02046L,02046L,Complete,Passed,2,-101,1,1,2,3,2,3,3,3,3,4
02049F,02049F,Complete,Passed,2,-82,1,2,3,2,3,3,3,3,3,4
02050U,02050U,Complete,Passed,2,-72,1,1,3,2,3,3,4,3,4,4
02051S,02051S,Complete,Passed,2,-76,1,1,3,1,1,3,3,4,4,4
02052Q,02052Q,Complete,Passed,2,-74,1,1,4,1,4,4,4,4,4,4
02053O,02053O,Complete,Passed,2,-73,1,1,3,3,3,4,3,4,4,4
02054M,02054M,Complete,Passed,2,-95,1,1,4,1,4,4,4,4,4,4
02059C,02059C,Complete,Passed,2,-89,1,1,4,1,4,2,4,4,4,4
02061P,02061P,Complete,Passed,2,-84,1,1,3,3,2,3,3,3,4,4
02063L,02063L,Complete,Passed,2,-87,1,1,4,1,4,4,4,4,4,4
02064J,02064J,Complete,Passed,2,-121,1,1,4,1,4,4,4,4,4,4
02066F,02066F,Complete,Passed,2,-84,1,1,3,2,4,4,4,4,4,4
02067D,02067D,Complete,Passed,2,-86,1,1,3,1,4,3,4,4,3,4
02070O,02070O,Complete,Passed,2,-68,1,1,4,1,4,4,4,4,4,4
02071M,02071M,Complete,Passed,2,-98,1,1,3,1,4,4,4,3,3,4
02072K,02072K,Complete,Passed,2,-78,1,1,2,3,2,1,3,2,1,3
02075E,02075E,Complete,Passed,2,-73,1,1,4,2,4,3,3,3,4,4
02076C,02076C,Complete,Passed,2,-75,1,1,4,1,4,4,4,4,4,4
02082H,02082H,Complete,Passed,2,-90,1,2,2,3,2,2,3,3,3,3
02083F,02083F,Complete,Passed,2,-75,1,1,3,1,4,4,4,4,4,4
02084D,02084D,Complete,Passed,2,-102,1,1,4,2,4,4,4,4,4,4
02087U,02087U,Complete,Passed,2,-96,1,1,3,3,2,3,4,3,3,4
02089Q,02089Q,Complete,Passed,2,-71,1,1,3,2,4,4,4,4,4,4
02092E,02092E,Complete,Passed,2,-94,1,1,4,3,3,3,4,3,3,4
02093C,02093C,Complete,Passed,2,-110,1,1,3,3,3,3,4,3,3,4
02097R,02097R,Complete,Passed,2,-84,1,1,3,4,4,3,4,4,4,4
02098P,02098P,Complete,Passed,2,-81,1,1,2,3,3,2,4,3,4,4
02099N,02099N,Complete,Passed,2,-83,1,1,4,4,4,4,4,2,2,4
02104A,02104A,Complete,Passed,2,-77,1,1,3,1,4,2,4,4,4,4
02105V,02105V,Complete,Passed,2,-99,1,1,3,2,3,3,4,3,3,4
02106T,02106T,Complete,Passed,2,-110,1,1,4,2,4,4,4,4,4,4
02110F,02110F,Complete,Passed,2,-89,1,1,3,3,4,4,4,4,4,4
02112B,02112B,Complete,Passed,2,-84,1,1,3,2,4,4,4,3,4,4
02114U,02114U,Complete,Passed,2,-97,1,1,3,2,2,2,2,2,2,4
02115S,02115S,Complete,Passed,2,-88,1,1,3,3,4,4,4,4,4,4
02117O,02117O,Complete,Passed,2,-74,1,1,3,2,4,3,4,4,3,4
02118M,02118M,Complete,Passed,2,-83,1,1,3,2,4,4,4,4,4,4
02119K,02119K,Complete,Passed,2,-84,1,1,3,3,3,3,3,3,3,4
02121A,02121A,Complete,Passed,2,-84,1,1,4,2,4,4,4,4,4,4
02123T,02123T,Complete,Passed,2,-74,2,1,3,3,4,2,4,3,3,4
02126N,02126N,Complete,Passed,2,-92,2,1,2,3,3,3,2,2,2,4
02129H,02129H,Complete,Passed,2,-109,1,1,3,2,4,2,3,3,3,4
02130W,02130W,Complete,Passed,2,-71,1,1,3,2,4,4,4,4,4,4
02131U,02131U,Complete,Passed,2,-80,1,1,2,4,3,3,2,2,3,4
02132S,02132S,Complete,Passed,2,-113,1,1,3,2,4,3,2,3,3,4
02133Q,02133Q,Complete,Passed,2,-87,1,1,4,1,4,4,4,4,4,4
02134O,02134O,Complete,Passed,2,-80,1,1,2,3,2,2,3,3,3,4
02136K,02136K,Complete,Passed,2,-118,1,1,3,3,4,3,4,4,4,4
02142P,02142P,Complete,Passed,2,-76,2,3,2,3,2,2,3,3,3,4
02143N,02143N,Complete,Passed,2,-76,1,1,4,4,4,4,4,4,4,4
02144L,02144L,Complete,Passed,2,-84,1,1,3,3,3,3,4,3,3,4
02145J,02145J,Complete,Passed,2,-80,2,1,3,3,2,2,3,3,3,4
02147F,02147F,Complete,Passed,2,-78,1,1,3,1,4,4,4,4,4,4
02148D,02148D,Complete,Passed,2,-74,1,1,4,2,4,4,4,4,4,4
02152M,02152M,Complete,Passed,2,-82,1,1,3,3,3,2,3,4,4,4
02156E,02156E,Complete,Passed,2,-63,1,1,4,1,4,2,4,4,4,4
02157C,02157C,Complete,Passed,2,-82,1,1,4,1,4,4,4,4,4,4
02160N,02160N,Complete,Passed,2,-84,1,1,4,1,4,4,4,4,4,4
02161L,02161L,Complete,Passed,2,-80,1,1,4,1,4,4,4,4,4,4
02167W,02167W,Complete,Passed,2,-82,1,2,3,3,4,2,4,3,3,4
02169S,02169S,Complete,Passed,2,-102,1,1,3,2,3,4,3,3,3,4
02172G,02172G,Complete,Passed,2,-86,1,1,3,2,3,3,4,3,3,4
02174C,02174C,Complete,Passed,2,-78,1,1,1,3,4,3,3,3,3,4
02175A,02175A,Complete,Passed,2,-78,1,1,3,1,4,4,4,3,4,4
02176V,02176V,Complete,Passed,2,-83,1,1,2,2,3,3,3,3,3,4
02178R,02178R,Complete,Passed,2,-99,1,1,3,3,2,3,4,3,3,4
02179P,02179P,Complete,Passed,2,-96,1,1,3,1,3,4,4,3,4,4
02182D,02182D,Complete,Passed,2,-110,4,1,4,1,1,4,4,4,3,4
02183B,02183B,Complete,Passed,2,-92,1,1,2,3,3,3,4,4,3,4
02185U,02185U,Complete,Passed,2,-85,1,1,3,2,3,4,4,4,4,4
02186S,02186S,Complete,Passed,2,-78,1,1,2,2,2,4,4,3,4,4
02187Q,02187Q,Complete,Passed,2,-105,1,1,4,1,4,4,4,4,4,4
02190E,02190E,Complete,Passed,2,-86,2,3,2,3,2,2,2,2,3,4
02191C,02191C,Complete,Passed,2,-81,1,2,3,3,3,4,4,3,3,4
02193V,02193V,Complete,Passed,2,-84,1,1,3,2,4,3,4,3,4,4
02194T,02194T,Complete,Passed,2,-93,1,1,2,3,4,4,4,3,3,4
02197N,02197N,Complete,Passed,2,-79,1,1,4,2,4,3,4,4,3,4
02199J,02199J,Complete,Passed,2,-90,1,1,3,3,3,3,3,3,3,4
02200E,02200E,Complete,Passed,2,-100,1,1,2,3,3,3,4,3,4,4
02201C,02201C,Complete,Passed,2,-82,1,1,3,2,3,2,3,3,3,4
02202A,02202A,Complete,Passed,2,-82,1,1,4,1,4,4,4,3,3,4
02204T,02204T,Complete,Passed,2,-88,1,1,3,2,3,4,4,4,3,4
02205R,02205R,Complete,Passed,2,-74,1,1,2,3,2,4,3,3,2,3
02206P,02206P,Complete,Passed,2,-84,2,2,3,3,2,2,2,1,1,4
02210B,02210B,Complete,Passed,2,-83,1,1,2,4,2,2,4,3,3,4
02211W,02211W,Complete,Passed,2,-74,1,2,3,2,3,3,4,4,4,4
02212U,02212U,Complete,Passed,2,-71,1,2,3,3,2,3,4,3,3,4
02213S,02213S,Complete,Passed,2,-83,1,1,3,2,3,3,3,4,4,4
02214Q,02214Q,Complete,Passed,2,-70,1,1,4,4,4,4,4,4,4,4
02218I,02218I,Complete,Passed,2,-105,1,1,3,3,3,3,4,3,3,3
02223P,02223P,Complete,Passed,2,-90,1,2,3,2,3,2,3,3,3,4
02224N,02224N,Complete,Passed,2,-76,1,1,4,1,4,4,4,4,3,4
02228F,02228F,Complete,Passed,2,-80,1,2,4,2,2,4,4,4,4,4
02229D,02229D,Complete,Passed,2,-92,1,1,3,1,3,2,4,3,4,4
02230S,02230S,Complete,Passed,2,-72,1,1,2,3,3,2,4,3,3,4
02232O,02232O,Complete,Passed,2,-106,1,1,3,2,3,4,4,4,4,4
02234K,02234K,Complete,Passed,2,-77,1,1,3,2,3,3,4,4,4,4
02235I,02235I,Complete,Passed,2,-115,1,1,4,1,4,4,4,4,4,4
02236G,02236G,Complete,Passed,2,-92,1,1,3,3,4,4,4,4,4,4
02242L,02242L,Complete,Passed,2,-89,1,1,2,2,2,2,2,3,3,4
02243J,02243J,Complete,Passed,2,-89,1,1,4,2,3,3,4,3,3,4
02245F,02245F,Complete,Passed,2,-84,1,1,3,1,4,4,4,4,4,4
02252I,02252I,Complete,Passed,2,-94,1,1,2,2,3,2,2,2,2,4
02254E,02254E,Complete,Passed,2,-76,2,1,2,3,1,2,2,2,1,4
02255C,02255C,Complete,Passed,2,-94,2,2,3,3,3,2,3,3,3,4
02256A,02256A,Complete,Passed,2,-91,1,1,2,2,4,4,4,4,3,4
02258T,02258T,Complete,Passed,2,-78,1,1,3,1,4,4,4,4,4,4
02262F,02262F,Complete,Passed,2,-91,1,1,3,2,4,3,4,4,4,4
02263D,02263D,Complete,Passed,2,-91,1,1,4,1,4,4,4,4,4,4
02265W,02265W,Complete,Passed,2,-104,1,1,4,4,4,4,4,4,4,4
02266U,02266U,Complete,Passed,2,-71,1,1,2,3,3,2,4,3,3,4
02267S,02267S,Complete,Passed,2,-115,1,1,3,2,3,4,4,4,3,4
02268Q,02268Q,Complete,Passed,2,-77,1,1,4,1,4,4,4,3,3,4
02269O,02269O,Complete,Passed,2,-116,1,1,2,3,3,4,2,3,3,4
02274V,02274V,Complete,Passed,2,-90,1,1,3,1,4,4,4,4,4,4
02277P,02277P,Complete,Passed,2,-75,2,1,3,2,3,3,4,4,4,4
02278N,02278N,Complete,Passed,2,-96,1,1,3,2,4,4,3,3,3,4
02279L,02279L,Complete,Passed,2,-82,1,1,3,1,4,3,4,3,3,4
02282W,02282W,Complete,Passed,2,-95,1,1,4,2,4,2,4,4,4,4
02284S,02284S,Complete,Passed,2,-88,1,1,4,1,3,4,3,4,4,4
02286O,02286O,Complete,Passed,2,-81,1,1,3,1,4,4,4,4,4,4
02287M,02287M,Complete,Passed,2,-104,1,1,3,2,4,4,4,4,4,4
02290A,02290A,Complete,Passed,2,-83,1,1,3,2,4,4,4,4,4,4
02291V,02291V,Complete,Passed,2,-103,1,1,4,2,4,4,4,4,3,4
02292T,02292T,Complete,Passed,2,-84,1,2,2,3,2,2,4,4,4,4
02295N,02295N,Complete,Passed,2,-106,3,1,2,2,3,3,4,4,4,4
02297J,02297J,Complete,Passed,2,-81,1,1,2,3,3,3,4,4,4,4
02300A,02300A,Complete,Passed,2,-80,1,1,3,2,3,3,4,3,4,4
02304P,02304P,Complete,Passed,2,-103,1,1,4,2,4,4,4,4,4,4
02305N,02305N,Complete,Passed,2,-80,1,1,3,1,4,2,4,4,4,4
02306L,02306L,Complete,Passed,2,-88,1,1,4,2,4,4,4,4,4,4
02307J,02307J,Complete,Passed,2,-96,1,1,3,2,4,3,4,4,3,4
02308H,02308H,Complete,Passed,2,-102,1,1,3,2,4,3,4,4,4,4
02309F,02309F,Complete,Passed,2,-95,1,1,2,3,2,2,4,3,4,4
02313O,02313O,Complete,Passed,2,-80,1,1,2,3,2,3,4,3,4,4
02319C,02319C,Complete,Passed,2,-87,2,2,3,3,3,3,2,2,2,4
02320R,02320R,Complete,Passed,2,-121,1,1,4,2,4,4,4,4,4,4
02321P,02321P,Complete,Passed,2,-99,1,1,2,3,2,3,3,3,4,4
02323L,02323L,Complete,Passed,2,-72,1,1,3,2,4,4,4,3,3,4
02324J,02324J,Complete,Passed,2,-119,2,1,3,3,2,3,3,3,2,4
02325H,02325H,Complete,Passed,2,-83,1,1,2,3,3,3,3,3,3,4
02327D,02327D,Complete,Passed,2,-72,1,1,3,3,3,3,3,3,3,4
02330O,02330O,Complete,Passed,2,-94,1,1,4,1,4,4,4,4,4,4
02331M,02331M,Complete,Passed,2,-100,1,1,4,4,4,4,4,4,4,4
02332K,02332K,Complete,Passed,2,-83,1,1,4,2,4,4,4,4,3,4
02334G,02334G,Complete,Passed,2,-102,1,1,2,3,3,3,3,3,3,4
02335E,02335E,Complete,Passed,2,-107,1,1,3,3,4,2,4,3,3,4
02336C,02336C,Complete,Passed,2,-79,1,1,3,3,4,3,4,4,4,4
02338V,02338V,Complete,Passed,2,-96,1,1,4,1,3,3,4,4,4,4
02339T,02339T,Complete,Passed,2,-97,1,1,4,2,4,4,4,4,4,4
02342H,02342H,Complete,Passed,2,-82,1,1,4,2,4,3,3,3,4,4
02343F,02343F,Complete,Passed,2,-81,1,1,3,2,4,4,4,4,4,4
02348S,02348S,Complete,Passed,2,-73,1,1,4,2,3,4,4,4,4,4
02352E,02352E,Complete,Passed,2,-106,1,1,3,3,4,2,3,2,3,4
02354A,02354A,Complete,Passed,2,-72,1,1,3,2,3,3,4,3,3,4
02355V,02355V,Complete,Passed,2,-78,1,1,3,1,4,4,4,4,4,4
02356T,02356T,Complete,Passed,2,-83,1,1,3,3,4,3,4,3,3,4
02357R,02357R,Complete,Passed,2,-91,2,2,3,3,2,2,4,3,3,4
02358P,02358P,Complete,Passed,2,-80,1,1,4,1,4,4,4,4,4,4
02359N,02359N,Complete,Passed,2,-78,1,2,3,3,2,2,3,3,3,4
02360F,02360F,Complete,Passed,2,-84,1,1,2,3,2,3,4,3,3,4
02362B,02362B,Complete,Passed,2,-75,1,1,3,3,2,2,4,4,3,4
02363W,02363W,Complete,Passed,2,-99,1,1,3,2,3,4,3,3,3,4
02364U,02364U,Complete,Passed,2,-84,1,1,4,1,4,4,4,4,4,4
02366Q,02366Q,Complete,Passed,2,-79,3,1,4,2,4,3,3,3,3,4
02367O,02367O,Complete,Passed,2,-81,1,2,4,1,4,4,4,3,4,3
02368M,02368M,Complete,Passed,2,-85,1,1,3,3,2,3,3,3,3,4
02370C,02370C,Complete,Passed,2,-73,1,1,2,3,3,2,4,3,3,4
02371A,02371A,Complete,Passed,2,-72,1,1,3,2,4,3,4,4,4,4
02373T,02373T,Complete,Passed,2,-110,1,1,2,2,3,2,3,3,3,4
02374R,02374R,Complete,Passed,2,-81,1,1,3,2,4,3,4,4,4,4
02375P,02375P,Complete,Passed,2,-93,1,1,2,1,2,3,3,4,3,4
02376N,02376N,Complete,Passed,2,-94,1,1,3,2,3,3,3,3,3,4
02380W,02380W,Complete,Passed,2,-76,1,1,3,3,3,4,4,4,4,4
02383Q,02383Q,Complete,Passed,2,-87,2,2,2,3,1,1,2,2,3,4
02385M,02385M,Complete,Passed,2,-76,1,1,4,1,4,4,4,4,4,4
02387I,02387I,Complete,Passed,2,-84,1,1,4,2,4,4,4,4,4,4
02388G,02388G,Complete,Passed,2,-77,1,1,3,1,4,2,4,3,3,4
02389E,02389E,Complete,Passed,2,-77,1,1,3,2,2,2,3,3,3,4
02390T,02390T,Complete,Passed,2,-92,1,1,3,2,2,4,4,4,4,4
02391R,02391R,Complete,Passed,2,-106,1,3,3,3,3,2,3,3,3,4
02393N,02393N,Complete,Passed,2,-72,1,1,4,1,4,4,4,4,4,4
02394L,02394L,Complete,Passed,2,-65,1,1,3,3,3,3,3,3,3,4
02395J,02395J,Complete,Passed,2,-72,1,1,4,3,4,4,4,4,4,4
02398D,02398D,Complete,Passed,2,-97,1,1,3,1,4,3,4,4,4,4
02402P,02402P,Complete,Passed,2,-72,1,1,3,2,4,3,4,4,4,4
02403N,02403N,Complete,Passed,2,-89,1,1,3,2,4,3,3,3,3,4
02404L,02404L,Complete,Passed,2,-125,2,2,3,3,2,2,4,2,3,4
02405J,02405J,Complete,Passed,2,-83,1,1,4,2,4,2,3,4,3,4
02407F,02407F,Complete,Passed,2,-82,1,1,4,1,4,4,4,4,4,4
02410Q,02410Q,Complete,Passed,2,-83,1,1,3,1,4,4,4,4,4,4
02411O,02411O,Complete,Passed,2,-72,1,1,2,3,3,3,4,4,4,4
02413K,02413K,Complete,Passed,2,-73,1,1,2,3,2,3,4,3,3,4
02414I,02414I,Complete,Passed,2,-81,1,1,3,3,3,3,4,4,4,4
02418A,02418A,Complete,Passed,2,-90,1,1,2,3,2,3,4,3,3,4
02419V,02419V,Complete,Passed,2,-90,2,2,2,4,1,2,3,1,2,4
02420N,02420N,Complete,Reviewed,2,-91,1,1,2,3,2,,,,,
02424F,02424F,Complete,Passed,2,-110,2,2,2,3,2,3,3,3,3,4
02425D,02425D,Complete,Passed,2,-77,1,1,2,3,3,2,3,3,3,4
02426B,02426B,Complete,Passed,2,-83,1,1,2,2,3,4,3,4,3,4
02427W,02427W,Complete,Passed,2,-119,1,1,3,3,2,3,4,3,3,4
02430K,02430K,Complete,Passed,2,-107,1,1,4,1,4,4,4,4,4,4
02431I,02431I,Complete,Passed,2,-87,1,1,3,2,3,3,4,4,4,4
02432G,02432G,Complete,Passed,2,-87,1,1,3,2,3,3,4,3,4,4
02433E,02433E,Complete,Passed,2,-99,1,1,2,3,2,2,4,3,3,4
02435A,02435A,Complete,Passed,2,-78,1,2,2,3,2,3,4,4,4,4
02438R,02438R,Complete,Passed,2,-82,2,1,2,2,3,2,4,3,2,4
02440H,02440H,Complete,Passed,2,-77,2,1,3,2,4,4,4,4,4,4
02443B,02443B,Complete,Passed,2,-77,1,1,4,1,4,3,4,4,4,4
02444W,02444W,Complete,Passed,2,-72,1,1,3,1,4,4,4,3,4,4
02446S,02446S,Complete,Passed,2,-87,2,3,2,3,3,2,3,2,3,2
02449M,02449M,Complete,Passed,2,-75,1,1,3,3,2,3,3,3,4,4
02450E,02450E,Complete,Passed,2,-85,1,1,3,2,3,3,4,3,3,4
02453V,02453V,Complete,Passed,2,-77,1,1,4,3,3,3,4,4,4,4
02454T,02454T,Complete,Passed,2,-96,3,1,2,3,2,2,2,1,1,2
02455R,02455R,Complete,Passed,2,-74,1,1,2,3,2,2,2,2,3,4
02456P,02456P,Complete,Passed,2,-80,1,1,2,3,2,3,4,4,4,4
02457N,02457N,Complete,Passed,2,-98,1,1,3,3,2,3,4,3,3,3
02459J,02459J,Complete,Passed,2,-111,1,1,3,3,3,3,4,3,3,4
02460B,02460B,Complete,Passed,2,-92,1,1,3,3,2,3,4,4,4,4
02466M,02466M,Complete,Passed,2,-82,1,1,3,2,3,3,4,4,4,4
02468I,02468I,Complete,Passed,2,-83,1,1,1,3,3,4,4,4,4,4
02471T,02471T,Complete,Passed,2,-81,1,1,2,3,4,4,4,4,4,4
02472R,02472R,Complete,Passed,2,-89,1,2,3,3,2,3,1,3,3,4
02473P,02473P,Complete,Passed,2,-92,1,2,4,2,4,4,4,4,4,4
02474N,02474N,Complete,Passed,2,-101,1,1,4,1,4,4,4,4,4,4
02475L,02475L,Complete,Passed,2,-82,1,1,3,3,3,3,3,3,3,4
02479D,02479D,Complete,Passed,2,-93,1,1,2,3,2,3,4,4,4,4
02480S,02480S,Complete,Passed,2,-87,1,1,2,3,2,3,4,4,4,4
02481Q,02481Q,Complete,Passed,2,-93,1,1,2,1,4,3,2,2,2,4
02483M,02483M,Complete,Passed,2,-68,2,1,2,3,2,2,3,3,3,3
02484K,02484K,Complete,Passed,2,-69,1,1,4,1,4,4,4,4,4,4
02485I,02485I,Complete,Passed,2,-110,1,1,4,1,2,4,4,4,4,4
02486G,02486G,Complete,Passed,2,-76,1,1,3,2,3,3,3,3,3,4
02490P,02490P,Complete,Passed,2,-74,1,1,4,2,3,4,4,4,4,4
02491N,02491N,Complete,Passed,2,-75,1,2,3,3,3,3,4,4,4,4
02492L,02492L,Complete,Passed,2,-77,1,1,4,1,4,4,4,4,4,4
02493J,02493J,Complete,Passed,2,-98,1,1,4,1,4,4,4,4,3,4
02499U,02499U,Complete,Passed,2,-84,2,1,2,3,2,4,3,3,3,4
02500P,02500P,Complete,Passed,2,-65,1,2,3,3,2,3,3,3,3,4
02502L,02502L,Complete,Passed,2,-71,1,1,3,2,3,4,3,3,3,4
02503J,02503J,Complete,Passed,2,-99,1,1,3,4,4,1,3,4,3,4
02504H,02504H,Complete,Passed,2,-105,2,1,3,3,3,4,4,3,4,4
02505F,02505F,Complete,Passed,2,-85,1,1,4,1,4,3,3,4,3,4
02506D,02506D,Complete,Passed,2,-82,1,1,2,3,3,4,4,4,4,4
02507B,02507B,Complete,Passed,2,-84,1,1,3,3,3,3,4,4,4,4
02508W,02508W,Complete,Passed,2,-104,1,1,3,3,3,3,4,3,3,4
02509U,02509U,Complete,Passed,2,-96,1,1,3,3,3,2,4,4,3,4
02512I,02512I,Complete,Passed,2,-97,1,1,3,2,4,2,2,2,3,4
02514E,02514E,Complete,Passed,2,-99,1,1,4,1,4,4,4,4,4,4
02516A,02516A,Complete,Passed,2,-83,1,1,2,3,2,3,3,3,3,4
02517V,02517V,Complete,Passed,2,-86,1,1,2,2,4,3,3,3,3,4
02520J,02520J,Complete,Passed,2,-87,1,1,4,1,4,4,4,4,4,4
02522F,02522F,Complete,Passed,2,-81,1,1,4,1,4,4,4,4,4,4
02523D,02523D,Complete,Passed,2,-91,1,1,3,3,3,3,3,4,3,4
02527S,02527S,Complete,Passed,2,-81,1,1,3,2,3,3,4,4,4,4
02529O,02529O,Complete,Passed,2,-79,1,1,2,3,2,2,3,3,3,4
02530G,02530G,Complete,Passed,2,-100,1,1,4,1,4,4,4,4,4,4
02531E,02531E,Complete,Passed,2,-86,1,1,3,3,4,4,4,4,4,4
02533A,02533A,Complete,Passed,2,-90,1,1,3,2,4,4,4,3,3,4
02535T,02535T,Complete,Passed,2,-85,1,2,2,3,2,3,3,3,3,4
02536R,02536R,Complete,Passed,2,-92,1,1,3,3,2,2,3,3,3,4
02537P,02537P,Complete,Passed,2,-80,1,1,3,2,4,4,4,4,4,4
02538N,02538N,Complete,Passed,2,-81,2,2,2,4,2,2,2,3,3,4
02539L,02539L,Complete,Passed,2,-82,1,1,3,2,3,3,4,4,4,4
02541B,02541B,Complete,Passed,2,-84,1,1,3,2,3,4,4,4,4,4
02544S,02544S,Complete,Passed,2,-114,2,2,4,3,3,4,4,3,4,4
02545Q,02545Q,Complete,Passed,2,-75,3,3,2,4,1,2,2,2,3,4
02547M,02547M,Complete,Passed,2,-65,1,1,1,1,4,4,4,4,4,4
02548K,02548K,Complete,Passed,2,-90,2,2,3,3,2,2,2,2,1,4
02549I,02549I,Complete,Reviewed,2,-77,1,1,4,1,4,,,,,
02552T,02552T,Complete,Passed,2,-76,4,1,2,3,3,4,4,4,4,4
02554P,02554P,Complete,Passed,2,-70,2,2,2,3,2,2,3,3,3,4
02559F,02559F,Complete,Reviewed,2,-74,1,1,3,2,3,,,,,
02562Q,02562Q,Complete,Passed,2,-86,2,2,2,3,2,2,3,2,2,4
02569C,02569C,Complete,Passed,2,-108,1,1,4,1,4,4,4,4,4,4
02571P,02571P,Complete,Passed,2,-72,1,1,1,3,2,2,2,2,3,4
02572N,02572N,Complete,Passed,2,-64,1,1,4,2,3,3,4,4,4,4
02574J,02574J,Complete,Passed,2,-104,1,1,2,2,3,4,4,4,4,4
02576F,02576F,Complete,Passed,2,-90,1,1,4,3,2,4,4,4,4,4
02577D,02577D,Complete,Passed,2,-96,1,1,2,3,2,3,4,4,4,4
02580O,02580O,Complete,Passed,2,-75,1,1,3,3,3,3,4,3,4,4
02583I,02583I,Complete,Passed,2,-75,1,1,2,3,3,3,2,3,2,4
02587A,02587A,Complete,Passed,2,-75,1,1,3,2,2,3,3,3,4,4
02591J,02591J,Complete,Passed,2,-72,1,1,4,2,4,3,4,3,4,4
02592H,02592H,Complete,Passed,2,-80,1,1,2,2,4,3,3,4,4,4
02593F,02593F,Complete,Passed,2,-110,1,1,3,3,2,3,3,3,3,4
02595B,02595B,Complete,Passed,2,-97,1,1,4,1,4,1,4,4,4,4
02596W,02596W,Complete,Passed,2,-86,1,1,3,2,3,3,3,3,3,4
02597U,02597U,Complete,Passed,2,-70,1,1,3,2,3,3,4,3,3,4
02599Q,02599Q,Complete,Passed,2,-462,1,1,4,1,3,3,2,2,3,4
02600L,02600L,Complete,Passed,2,-110,1,1,3,3,3,3,4,3,4,4
02603F,02603F,Complete,Passed,2,-78,1,1,4,1,4,4,4,4,4,4
02604D,02604D,Complete,Passed,2,-85,1,1,3,1,4,4,4,4,4,3
02605B,02605B,Complete,Passed,2,-86,2,3,3,3,3,2,3,4,4,4
02606W,02606W,Complete,Passed,2,-96,1,1,4,1,4,4,4,4,4,4
02607U,02607U,Complete,Passed,2,-83,1,1,4,1,4,4,4,4,4,4
02608S,02608S,Complete,Passed,2,-77,1,1,2,2,3,3,3,4,3,4
02609Q,02609Q,Complete,Passed,2,-98,1,1,3,3,3,3,3,4,4,4
02610I,02610I,Complete,Passed,2,-100,1,1,4,1,4,4,4,4,4,4
02611G,02611G,Complete,Passed,2,-103,1,1,3,1,4,4,4,3,4,4
02614A,02614A,Complete,Passed,2,-96,1,1,3,3,3,3,3,4,4,4
02615V,02615V,Complete,Passed,2,-102,1,1,4,1,4,4,4,4,4,4
02617R,02617R,Complete,Passed,2,-81,1,1,3,1,4,4,4,4,4,4
02619N,02619N,Complete,Passed,2,-76,1,2,3,2,3,4,4,3,4,4
02621D,02621D,Complete,Passed,2,-78,3,3,3,4,1,1,1,1,2,4
02623W,02623W,Complete,Passed,2,-125,1,1,3,1,4,3,2,2,2,4
02624U,02624U,Complete,Passed,2,-79,1,1,3,2,3,4,4,4,4,4
02625S,02625S,Complete,Passed,2,-86,2,1,1,1,1,2,3,2,3,4
02626Q,02626Q,Complete,Passed,2,-85,1,1,3,2,3,3,4,3,3,4
02627O,02627O,Complete,Passed,2,-120,1,1,2,2,3,3,4,3,3,4
02628M,02628M,Complete,Passed,2,-82,1,1,4,3,2,4,3,3,3,4
02629K,02629K,Complete,Passed,2,-79,1,1,4,3,3,4,4,4,4,4
02632V,02632V,Complete,Passed,2,-84,1,1,4,1,4,4,2,4,4,4
02633T,02633T,Complete,Passed,2,-73,1,1,3,2,4,3,4,4,4,4
02636N,02636N,Complete,Passed,2,-81,1,1,3,2,2,2,3,2,3,4
02639H,02639H,Complete,Passed,2,-89,1,1,4,2,4,3,4,4,4,4
02641U,02641U,Complete,Passed,2,-78,1,1,3,3,3,3,4,4,3,4
02647I,02647I,Complete,Passed,2,-91,3,3,2,3,2,1,1,1,1,4
02648G,02648G,Complete,Passed,2,-80,1,1,4,2,3,4,4,4,4,4
02653N,02653N,Complete,Passed,2,-83,1,1,2,3,3,2,4,4,3,4
02655J,02655J,Complete,Passed,2,-83,1,2,2,2,4,3,4,3,4,4
02657F,02657F,Complete,Passed,2,-91,1,1,4,1,4,4,4,4,4,4
02658D,02658D,Complete,Passed,2,-74,1,1,3,1,4,3,4,4,4,4
02659B,02659B,Complete,Passed,2,-72,1,1,3,4,4,4,4,3,4,4
02662M,02662M,Complete,Passed,2,-84,1,1,3,3,3,3,4,4,3,4
02664I,02664I,Complete,Passed,2,-116,1,1,2,2,3,3,3,4,4,4
02665G,02665G,Complete,Passed,2,-87,1,1,4,3,4,3,4,4,4,4
02666E,02666E,Complete,Passed,2,-74,1,1,3,3,3,3,3,3,4,4
