PublicID,V3C_PublicID,V3C_Complete,V3C_Status,V3CVer,V3CDATE_INT,V3CA01,V3CA02,V3CA03,V3CA04,V3CA05,V3CA06,V3CA07,V3CA08,V3CA09,V3CA10
00149L,00149L,Complete,Passed,2,-76,1,1,3,2,4,3,4,4,4,4
00150D,00150D,Complete,Passed,2,-80,1,1,3,2,4,4,4,4,4,4
00152W,00152W,Complete,Passed,2,-90,2,1,4,2,3,3,4,4,3,4
00153U,00153U,Complete,Passed,2,-75,1,1,3,3,2,2,2,2,3,4
00157M,00157M,Complete,Passed,2,-79,1,1,4,1,4,3,4,3,3,4
00158K,00158K,Complete,Passed,2,-80,1,1,3,2,3,2,4,3,4,4
00160A,00160A,Complete,Passed,2,-72,1,1,3,1,4,3,4,4,4,4
00170U,00170U,Complete,Passed,2,-94,1,2,2,3,3,3,4,3,3,4
00172Q,00172Q,Complete,Passed,2,-78,1,2,3,2,4,2,4,3,3,4
00173O,00173O,Complete,Passed,2,-94,1,2,2,1,3,2,2,4,2,4
00174M,00174M,Complete,Passed,2,-83,1,1,3,2,3,3,4,3,3,4
00175K,00175K,Complete,Passed,2,-89,1,1,4,3,4,4,4,4,4,4
00176I,00176I,Complete,Passed,2,-89,1,1,4,1,4,4,4,4,4,4
00179C,00179C,Complete,Passed,2,-78,1,1,4,1,4,4,4,4,4,4
00180R,00180R,Complete,Passed,2,-77,1,1,3,1,4,3,4,4,3,4
00181P,00181P,Complete,Passed,2,-74,1,1,4,1,4,4,4,3,3,4
00182N,00182N,Complete,Passed,2,-94,3,1,3,3,3,2,4,1,3,4
00183L,00183L,Complete,Passed,2,-75,1,1,3,2,4,4,4,3,3,4
00184J,00184J,Complete,Passed,2,-104,1,2,3,3,2,3,2,2,3,3
00185H,00185H,Complete,Passed,2,-95,2,2,2,3,2,2,2,2,2,3
00186F,00186F,Complete,Passed,2,-83,1,1,3,2,3,3,4,3,4,4
00187D,00187D,Complete,Passed,2,-80,2,1,3,3,3,2,3,3,3,4
00188B,00188B,Complete,Passed,2,-78,1,1,2,2,3,3,4,3,3,4
00189W,00189W,Complete,Passed,2,-82,2,1,2,4,2,2,2,2,3,4
00192K,00192K,Complete,Passed,2,-108,1,1,3,1,4,4,4,4,3,4
00193I,00193I,Complete,Passed,2,-88,1,1,3,3,3,3,4,4,3,4
00196C,00196C,Complete,Passed,2,-89,1,1,2,2,3,4,4,3,3,4
00197A,00197A,Complete,Passed,2,-91,2,1,2,3,3,2,2,2,3,4
00199T,00199T,Complete,Passed,2,-92,1,1,3,1,4,4,4,4,4,4
00200O,00200O,Complete,Passed,2,-77,1,1,2,3,2,2,2,3,3,4
00202K,00202K,Complete,Passed,2,-78,1,1,3,3,4,4,4,4,4,4
00205E,00205E,Complete,Passed,2,-88,1,1,4,2,4,4,4,4,4,4
00207A,00207A,Complete,Passed,2,-91,1,1,2,3,3,3,2,4,3,4
00214D,00214D,Complete,Passed,2,-84,2,2,3,2,3,2,2,3,3,4
00215B,00215B,Complete,Passed,2,-75,1,1,3,2,3,4,4,3,3,4
00220I,00220I,Complete,Passed,2,-81,1,1,3,3,3,3,4,4,4,4
00222E,00222E,Complete,Passed,2,-118,1,1,3,3,2,3,4,3,3,4
00224A,00224A,Complete,Passed,2,-94,1,1,3,2,3,3,3,3,3,4
00225V,00225V,Complete,Passed,2,-100,1,1,3,3,3,3,4,4,4,4
00227R,00227R,Complete,Passed,2,-80,1,1,4,3,2,3,4,4,4,4
00231D,00231D,Complete,Passed,2,-84,1,1,2,3,4,4,4,4,4,4
00235S,00235S,Complete,Passed,2,-86,1,1,3,2,4,4,4,4,4,4
00236Q,00236Q,Complete,Passed,2,-76,1,1,4,4,4,1,1,2,1,4
00237O,00237O,Complete,Passed,2,-87,2,1,3,2,3,3,3,3,3,4
00238M,00238M,Complete,Passed,2,-89,1,1,2,2,4,4,4,4,4,4
00239K,00239K,Complete,Passed,2,-108,1,1,2,3,1,2,4,2,2,4
00240C,00240C,Complete,Passed,2,-83,1,1,3,2,3,3,3,3,4,4
00245P,00245P,Complete,Passed,2,-84,1,1,4,1,4,4,4,4,4,4
00248J,00248J,Complete,Passed,2,-101,1,2,4,2,4,4,4,3,3,4
00249H,00249H,Complete,Passed,2,-41,2,2,3,3,2,3,3,4,3,4
00250W,00250W,Complete,Passed,2,-89,1,1,3,2,4,4,4,4,3,4
00251U,00251U,Complete,Passed,2,-111,1,1,4,1,4,4,4,4,4,4
00252S,00252S,Complete,Passed,2,-80,1,1,3,2,3,4,4,3,3,4
00257I,00257I,Complete,Passed,2,-81,2,2,2,3,2,2,4,3,3,4
00259E,00259E,Complete,Passed,2,-81,1,1,4,1,4,4,4,4,4,4
00261R,00261R,Complete,Passed,2,-97,1,1,3,2,3,3,4,3,4,4
