PublicID,V1G_PublicID,V1G_Complete,V1G_Status,V1GVer,V1GDATE_INT,V1GA01,V1GA02,V1GA03,V1GA04,V1GA05,V1GA06,V1GA07,V1GA08,V1GA09,V1GA10,V1GA11,V1GA12
14434J,14434J,Complete,Passed,2,-210,6,7,7,7,7,6,6,6,7,7,7,6
14435H,14435H,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,7,7
14436F,14436F,Complete,Passed,2,-192,7,7,6,6,7,6,6,6,6,7,6,6
14438B,14438B,Complete,Passed,2,-183,7,7,6,5,7,7,7,5,5,7,6,4
14439W,14439W,Complete,Passed,2,-140,7,7,6,6,7,6,6,7,6,7,6,6
14444G,14444G,Complete,Passed,2,-196,7,7,7,7,7,7,7,7,7,7,6,7
14447A,14447A,Complete,Passed,2,-218,7,7,7,6,7,7,7,7,7,4,6,7
14449T,14449T,Complete,Passed,2,-222,7,7,7,7,7,7,7,7,7,7,7,7
14451J,14451J,Complete,Passed,2,-198,7,7,7,7,7,6,5,7,7,7,6,6
14452H,14452H,Complete,Passed,2,-184,7,7,7,7,7,6,5,7,7,7,7,6
14453F,14453F,Complete,Passed,2,-185,6,6,5,5,6,6,7,4,7,6,4,6
14457U,14457U,Complete,Passed,2,-191,6,6,6,6,6,4,6,6,6,6,6,6
14459Q,14459Q,Complete,Passed,2,-185,7,7,6,6,7,5,5,5,6,7,7,7
14460I,14460I,Complete,Passed,2,-198,7,7,7,7,6,6,6,7,7,7,7,5
14461G,14461G,Complete,Passed,2,-183,7,7,7,7,7,7,7,7,7,7,7,7
14462E,14462E,Complete,Passed,2,-186,2,2,1,1,1,5,4,2,3,1,2,5
14463C,14463C,Complete,Passed,2,-188,1,1,1,1,1,2,2,1,1,1,1,1
14467R,14467R,Complete,Passed,2,-192,6,6,6,6,6,6,6,6,6,6,6,6
14470F,14470F,Complete,Passed,2,-208,3,3,7,5,5,5,6,3,6,4,6,7
14471D,14471D,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,7,7
14472B,14472B,Complete,Passed,2,-153,7,7,7,7,7,7,7,7,7,7,7,7
14476Q,14476Q,Complete,Passed,2,-209,7,7,7,7,7,7,7,7,7,7,7,7
14478M,14478M,Complete,Passed,2,-183,7,7,5,5,7,7,7,5,7,7,5,7
14479K,14479K,Complete,Passed,2,-224,7,7,6,6,7,6,6,6,6,7,6,6
14480C,14480C,Complete,Passed,2,-149,5,7,7,5,7,6,6,7,6,7,7,6
14481A,14481A,Complete,Passed,2,-224,7,7,7,7,7,7,7,7,7,7,7,7
14485P,14485P,Complete,Passed,2,-192,7,7,7,7,7,7,7,7,7,7,7,7
14488J,14488J,Complete,Passed,2,-196,7,7,7,7,7,7,7,7,7,7,7,7
14489H,14489H,Complete,Passed,2,-138,6,6,5,5,6,5,5,5,5,6,5,5
14491U,14491U,Complete,Passed,2,-189,7,7,7,7,7,7,7,7,7,7,6,7
14495M,14495M,Complete,Passed,2,-136,7,7,7,7,7,7,7,7,7,7,7,7
14497I,14497I,Complete,Passed,2,-220,6,7,5,4,7,6,6,3,5,7,4,6
14501U,14501U,Complete,Passed,2,-190,7,7,6,7,7,3,3,7,3,7,7,5
14503Q,14503Q,Complete,Passed,2,-227,7,7,7,7,7,5,5,7,5,7,7,5
14506K,14506K,Complete,Passed,2,-194,7,7,7,7,7,6,6,7,7,7,7,6
14513N,14513N,Complete,Passed,2,-194,7,7,7,7,7,6,6,7,7,7,7,7
14514L,14514L,Complete,Passed,2,-188,6,7,6,6,7,6,6,6,7,7,6,6
14515J,14515J,Complete,Passed,2,-185,5,6,7,6,6,6,7,7,7,6,6,7
14517F,14517F,Complete,Passed,2,-185,6,6,6,7,6,6,6,6,6,6,6,6
14518D,14518D,Complete,Passed,2,-185,6,7,7,7,7,6,6,7,6,7,7,6
14519B,14519B,Complete,Passed,2,-197,5,6,5,4,2,4,4,4,4,4,4,4
14520Q,14520Q,Complete,Passed,2,-154,5,5,6,6,5,6,6,6,7,5,6,5
14525G,14525G,Complete,Passed,2,-201,7,7,6,6,7,6,6,6,7,7,6,7
14531L,14531L,Complete,Passed,2,-220,7,7,6,7,7,4,5,7,5,7,4,6
14534F,14534F,Complete,Passed,2,-152,7,7,7,7,7,7,7,7,7,7,7,7
14537W,14537W,Complete,Passed,2,-218,7,7,7,7,7,7,7,7,7,7,7,7
14540K,14540K,Complete,Passed,2,-183,7,7,7,7,7,7,7,7,7,7,7,7
14543E,14543E,Complete,Passed,2,-205,7,7,7,7,7,7,7,7,7,7,7,7
14544C,14544C,Complete,Passed,2,-141,7,7,7,7,7,4,4,5,5,6,7,5
14546V,14546V,Complete,Passed,2,-164,2,1,1,1,1,1,2,1,1,1,1,1
14547T,14547T,Complete,Passed,2,-162,7,7,7,7,7,7,7,7,7,7,7,6
14549P,14549P,Complete,Passed,2,-191,1,1,1,1,1,1,1,1,1,1,1,1
14550H,14550H,Complete,Passed,2,-188,7,7,7,7,7,5,5,7,7,7,7,6
14552D,14552D,Complete,Passed,2,-194,7,7,7,7,7,5,5,7,7,7,7,7
14555U,14555U,Complete,Passed,2,-189,6,6,6,6,6,6,6,6,6,6,5,6
14556S,14556S,Complete,Passed,2,-190,7,7,7,7,7,4,4,7,4,7,7,4
14559M,14559M,Complete,Passed,2,-199,7,7,7,7,7,6,6,7,6,7,7,6
14565R,14565R,Complete,Passed,2,-195,7,7,7,7,7,5,5,6,7,7,5,6
14567N,14567N,Complete,Passed,2,-150,6,7,7,5,6,6,7,5,7,6,7,6
14568L,14568L,Complete,Passed,2,-191,7,7,7,6,7,6,6,6,6,7,6,6
14574Q,14574Q,Complete,Passed,2,-189,5,7,7,5,5,7,7,6,7,5,7,7
14576M,14576M,Complete,Passed,2,-189,7,7,7,7,7,7,7,7,7,7,7,7
14577K,14577K,Complete,Passed,2,-189,7,7,7,7,7,7,7,7,7,7,7,7
14580V,14580V,Complete,Passed,2,-189,5,5,7,7,4,7,7,7,7,2,7,7
14582R,14582R,Complete,Passed,2,-198,7,7,7,7,6,6,7,7,7,7,7,6
14583P,14583P,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,7,7
14584N,14584N,Complete,Passed,2,-186,7,7,7,7,7,4,4,7,4,7,7,4
14587H,14587H,Complete,Passed,2,-196,7,7,7,7,7,5,5,7,6,7,7,6
14588F,14588F,Complete,Passed,2,-147,7,7,7,7,7,5,5,7,5,7,7,5
