PublicID,V1G_PublicID,V1G_Complete,V1G_Status,V1GVer,V1GDATE_INT,V1GA01,V1GA02,V1GA03,V1GA04,V1GA05,V1GA06,V1GA07,V1GA08,V1GA09,V1GA10,V1GA11,V1GA12
00004O,00004O,Complete,Passed,2,-199,6,7,7,7,7,5,5,6,4,7,6,2
00007I,00007I,Complete,Passed,2,-208,7,7,4,5,7,4,5,2,4,7,4,5
00008G,00008G,Complete,Passed,2,-141,7,7,7,7,7,7,7,7,7,7,7,7
00015J,00015J,Complete,Passed,2,-198,1,1,1,1,1,1,1,1,1,1,1,1
00016H,00016H,Complete,Passed,2,-192,7,7,7,7,7,7,6,7,7,6,7,7
00017F,00017F,Complete,Passed,2,-188,7,7,6,6,7,5,6,6,6,7,6,6
00018D,00018D,Complete,Passed,2,-187,7,7,7,7,7,6,6,7,6,7,7,6
00019B,00019B,Complete,Passed,2,-169,7,7,7,7,7,6,7,7,7,7,7,7
00021O,00021O,Complete,Passed,2,-140,6,7,6,6,7,6,6,6,6,7,7,6
00022M,00022M,Complete,Passed,2,-190,6,6,5,5,6,6,6,5,6,6,6,6
00023K,00023K,Complete,Passed,2,-193,6,6,4,3,6,6,5,5,6,6,4,6
00024I,00024I,Complete,Passed,2,-165,7,7,7,7,7,6,5,7,5,7,7,6
00026E,00026E,Complete,Passed,2,-190,6,7,7,7,7,6,6,7,6,6,7,6
00027C,00027C,Complete,Passed,2,-187,7,7,7,7,7,7,7,7,7,7,7,7
00029V,00029V,Complete,Passed,2,-188,7,7,7,7,7,7,7,7,7,7,7,7
00030N,00030N,Complete,Passed,2,-186,7,7,7,7,7,7,7,7,7,7,7,7
00031L,00031L,Complete,Passed,2,-194,7,7,3,4,7,2,1,3,1,7,2,2
00032J,00032J,Complete,Passed,2,-214,5,6,4,4,5,4,4,5,4,5,4,4
00033H,00033H,Complete,Passed,2,-215,6,6,7,7,6,4,6,7,5,7,6,5
00034F,00034F,Complete,Passed,2,-187,6,7,6,7,7,7,6,6,7,7,5,6
00036B,00036B,Complete,Passed,2,-189,7,7,7,7,7,7,6,7,7,7,7,6
00037W,00037W,Complete,Passed,2,-195,7,7,7,7,7,7,7,7,7,7,7,7
00039S,00039S,Complete,Passed,2,-195,7,7,7,7,7,7,7,7,7,7,7,7
00040K,00040K,Complete,Passed,2,-179,7,7,7,7,7,7,7,7,7,7,7,7
00042G,00042G,Complete,Passed,2,-186,6,7,7,7,7,7,7,7,7,7,7,7
00043E,00043E,Complete,Passed,2,-185,7,7,7,7,7,7,6,7,6,7,7,6
00047T,00047T,Complete,Passed,2,-187,4,3,3,3,2,3,2,1,4,3,2,3
00048R,00048R,Complete,Passed,2,-204,7,7,7,7,7,4,4,7,4,7,7,4
00049P,00049P,Complete,Passed,2,-191,7,7,7,7,7,4,4,6,6,7,7,5
00051F,00051F,Complete,Passed,2,-191,6,7,7,7,6,7,7,6,7,6,6,7
00056S,00056S,Complete,Passed,2,-187,6,7,6,6,7,5,5,6,5,7,6,5
00057Q,00057Q,Complete,Passed,2,-164,7,7,7,7,7,7,7,7,7,7,7,7
00060E,00060E,Complete,Passed,2,-145,7,7,7,7,7,7,7,7,7,7,7,7
00063V,00063V,Complete,Passed,2,-206,7,7,7,7,7,6,6,7,7,7,7,7
00065R,00065R,Complete,Passed,2,-196,7,7,7,7,7,4,3,6,6,7,7,4
00067N,00067N,Complete,Passed,2,-218,7,7,5,4,7,5,5,5,6,7,5,6
00068L,00068L,Complete,Passed,2,-201,7,7,7,7,7,6,6,7,7,7,5,7
00070B,00070B,Complete,Passed,2,-189,2,1,1,1,1,2,3,1,1,1,1,3
00072U,00072U,Complete,Passed,2,-156,7,7,6,6,7,4,4,6,4,7,6,4
00074Q,00074Q,Complete,Passed,2,-184,7,7,7,7,7,7,6,7,7,7,7,6
00075O,00075O,Complete,Passed,2,-131,1,1,1,1,1,1,1,1,1,1,1,1
00077K,00077K,Complete,Passed,2,-200,7,7,7,7,7,7,6,7,7,7,7,7
00078I,00078I,Complete,Passed,2,-183,7,7,6,5,7,6,6,6,6,7,5,6
00079G,00079G,Complete,Passed,2,-182,6,4,5,6,4,6,5,2,4,3,7,5
00082R,00082R,Complete,Passed,2,-163,7,7,7,7,7,6,6,7,7,7,7,6
00083P,00083P,Complete,Passed,2,-167,7,7,7,7,7,6,7,7,6,7,6,6
00085L,00085L,Complete,Passed,2,-158,7,7,7,7,7,7,7,7,7,7,7,7
00088F,00088F,Complete,Passed,2,-193,7,7,7,7,7,7,7,7,7,7,7,7
00089D,00089D,Complete,Passed,2,-183,6,6,7,6,6,6,6,6,6,6,7,6
00092O,00092O,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,7,7
00093M,00093M,Complete,Passed,2,-182,7,7,7,7,7,7,7,6,7,7,6,7
00096G,00096G,Complete,Passed,2,-208,6,7,6,7,7,6,6,7,7,7,7,6
00098C,00098C,Complete,Passed,2,-142,7,6,7,7,7,7,6,6,7,7,7,5
00099A,00099A,Complete,Passed,2,-234,7,7,4,4,7,6,2,1,7,7,1,7
00105I,00105I,Complete,Passed,2,-197,7,7,7,7,7,7,7,7,7,7,7,7
00106G,00106G,Complete,Passed,2,-191,7,7,4,5,7,6,6,2,7,7,4,7
00107E,00107E,Complete,Passed,2,-202,7,7,7,7,7,7,7,7,7,7,7,7
00111N,00111N,Complete,Passed,2,-181,6,7,7,6,7,6,6,6,7,7,6,6
00112L,00112L,Complete,Passed,2,-196,7,7,7,7,7,7,7,7,7,7,7,7
00113J,00113J,Complete,Passed,2,-158,7,7,7,7,7,5,5,7,7,7,6,6
00116D,00116D,Complete,Passed,2,-202,6,7,7,7,7,6,7,7,7,7,7,7
00117B,00117B,Complete,Passed,2,-200,6,6,7,7,6,6,6,7,6,6,7,7
00118W,00118W,Complete,Passed,2,-136,7,7,7,7,7,7,7,7,7,7,7,7
00120M,00120M,Complete,Passed,2,-164,7,7,7,7,7,7,7,6,6,7,7,6
00121K,00121K,Complete,Passed,2,-189,4,7,7,7,7,7,7,7,7,4,7,7
00122I,00122I,Complete,Passed,2,-189,7,7,7,7,7,7,7,7,7,7,7,7
00123G,00123G,Complete,Passed,2,-184,6,7,7,7,7,6,6,6,5,6,7,5
00125C,00125C,Complete,Passed,2,-189,7,7,7,7,7,7,7,7,7,7,7,7
00126A,00126A,Complete,Passed,2,-190,7,6,6,6,5,7,6,6,6,7,5,6
00127V,00127V,Complete,Passed,2,-200,7,7,7,7,7,6,6,7,6,7,7,6
00128T,00128T,Complete,Passed,2,-192,7,7,7,7,7,7,7,7,7,7,7,7
00130J,00130J,Complete,Passed,2,-189,6,7,5,4,7,2,1,3,3,7,4,1
00137S,00137S,Complete,Passed,2,-201,7,7,7,7,7,5,5,7,5,7,7,5
00139O,00139O,Complete,Passed,2,-185,6,6,6,6,6,6,6,6,6,6,6,6
00142C,00142C,Complete,Passed,2,-186,7,7,7,6,7,6,6,7,7,7,7,7
00143A,00143A,Complete,Passed,2,-208,7,7,7,7,7,7,7,7,7,7,7,7
00148N,00148N,Complete,Passed,2,-205,7,7,7,7,7,6,6,7,7,7,7,7
00149L,00149L,Complete,Passed,2,-209,6,7,7,7,7,7,7,7,7,7,7,7
00150D,00150D,Complete,Passed,2,-185,7,7,7,7,7,7,7,7,7,7,7,7
00152W,00152W,Complete,Passed,2,-203,7,7,7,7,7,7,7,7,7,7,7,7
00153U,00153U,Complete,Passed,2,-206,3,4,7,7,4,4,4,7,6,4,7,7
00157M,00157M,Complete,Passed,2,-199,7,7,7,7,7,7,7,7,7,7,7,7
00158K,00158K,Complete,Passed,2,-190,7,7,7,7,7,4,4,7,4,7,7,4
00160A,00160A,Complete,Passed,2,-135,7,7,7,7,7,6,5,7,6,7,7,6
00165N,00165N,Complete,Passed,2,-131,6,6,6,6,6,5,4,5,5,7,6,6
00168H,00168H,Complete,Passed,2,-200,7,7,7,7,7,7,7,7,7,7,7,7
00170U,00170U,Complete,Passed,2,-213,7,7,7,7,7,5,5,6,6,7,7,5
00172Q,00172Q,Complete,Passed,2,-194,6,7,7,6,6,6,5,5,7,7,6,6
00173O,00173O,Complete,Passed,2,-192,7,7,7,7,7,4,4,7,4,7,7,4
00174M,00174M,Complete,Passed,2,-209,6,6,4,4,6,5,6,4,6,6,5,6
00175K,00175K,Complete,Passed,2,-177,7,7,7,7,7,6,6,7,7,7,7,7
00176I,00176I,Complete,Passed,2,-187,7,7,7,7,7,7,7,7,7,7,7,7
00179C,00179C,Complete,Passed,2,-191,7,7,7,7,7,7,7,7,7,7,7,7
00180R,00180R,Complete,Passed,2,-133,6,6,7,7,7,5,6,7,6,7,7,6
00181P,00181P,Complete,Passed,2,-200,7,7,7,7,7,7,7,7,7,7,7,7
00182N,00182N,Complete,Passed,2,-197,3,3,6,6,3,5,6,6,6,6,6,6
00183L,00183L,Complete,Passed,2,-147,7,7,7,7,7,7,7,7,7,7,7,7
00185H,00185H,Complete,Passed,2,-187,7,7,7,7,7,7,7,7,7,7,7,7
00186F,00186F,Complete,Passed,2,-189,7,7,6,6,7,6,5,6,5,7,6,5
00187D,00187D,Complete,Passed,2,-193,1,1,1,1,1,1,1,1,1,1,1,1
00188B,00188B,Complete,Passed,2,-183,7,7,6,6,7,6,6,7,7,7,6,6
00189W,00189W,Complete,Passed,2,-187,7,7,2,2,7,3,3,1,3,7,2,3
00192K,00192K,Complete,Passed,2,-206,7,7,7,7,7,7,7,7,7,7,7,7
00193I,00193I,Complete,Passed,2,-208,1,1,1,1,1,4,4,1,4,1,1,4
00197A,00197A,Complete,Passed,2,-197,6,6,7,7,7,7,5,7,7,7,7,7
00199T,00199T,Complete,Passed,2,-231,7,7,7,7,7,7,7,7,7,7,6,7
00200O,00200O,Complete,Passed,2,-192,5,5,4,6,5,4,6,6,6,5,5,7
00202K,00202K,Complete,Passed,2,-197,7,7,7,7,7,6,6,6,6,7,6,6
00205E,00205E,Complete,Passed,2,-213,7,7,7,7,7,7,7,7,7,7,4,7
00207A,00207A,Complete,Passed,2,-225,3,4,7,6,4,4,4,3,4,3,5,4
00214D,00214D,Complete,Passed,2,-201,6,6,6,6,6,6,6,5,6,6,6,6
00215B,00215B,Complete,Passed,2,-153,6,7,7,7,7,6,5,7,5,7,7,5
00218S,00218S,Complete,Passed,2,-160,7,6,6,6,6,5,5,6,6,6,6,6
00220I,00220I,Complete,Passed,2,-184,7,7,7,7,7,7,7,7,7,7,7,7
00222E,00222E,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,7,7
00224A,00224A,Complete,Passed,2,-192,7,7,7,7,7,7,7,7,7,7,7,7
00225V,00225V,Complete,Passed,2,-188,7,7,7,7,7,7,7,7,7,7,7,7
00227R,00227R,Complete,Passed,2,-206,7,7,7,7,7,7,7,7,7,7,7,7
00231D,00231D,Complete,Passed,2,-195,7,7,6,7,7,6,6,6,7,7,6,7
00235S,00235S,Complete,Passed,2,-213,7,7,7,7,7,6,6,6,6,7,5,6
00237O,00237O,Complete,Passed,2,-187,7,7,7,7,7,6,6,7,6,7,7,6
00238M,00238M,Complete,Passed,2,-194,7,7,7,7,7,6,4,7,7,7,7,7
00240C,00240C,Complete,Passed,2,-203,7,7,7,7,7,7,4,4,4,7,7,4
00245P,00245P,Complete,Passed,2,-140,7,7,7,7,7,7,6,7,6,7,7,6
00248J,00248J,Complete,Passed,2,-142,6,7,7,5,6,5,5,5,6,6,7,5
00249H,00249H,Complete,Passed,2,-185,7,7,7,7,7,7,7,7,7,7,7,7
00252S,00252S,Complete,Passed,2,-194,7,7,7,7,7,7,7,7,7,7,7,7
00257I,00257I,Complete,Passed,2,-184,7,7,7,7,7,7,7,7,7,7,7,7
00259E,00259E,Complete,Passed,2,-143,7,7,7,7,7,6,6,7,7,7,6,6
00260T,00260T,Complete,Passed,2,-162,7,7,6,5,7,6,6,6,6,7,6,6
00261R,00261R,Complete,Passed,2,-184,7,7,3,3,7,7,7,3,7,7,3,7
00262P,00262P,Complete,Passed,2,-191,7,7,7,7,7,7,7,7,7,7,7,7
00266H,00266H,Complete,Passed,2,-183,7,7,4,4,7,4,3,3,5,7,4,6
00267F,00267F,Complete,Passed,2,-180,7,7,7,7,7,5,5,7,6,7,7,6
00269B,00269B,Complete,Passed,2,-153,7,7,7,7,7,7,6,7,7,7,7,7
00270Q,00270Q,Complete,Passed,2,-224,7,6,7,6,7,4,5,6,5,7,7,5
00272M,00272M,Complete,Passed,2,-199,6,6,7,7,6,4,4,5,5,6,7,4
00273K,00273K,Complete,Passed,2,-210,7,7,7,7,7,7,7,7,7,7,7,7
00275G,00275G,Complete,Passed,2,-187,7,7,7,7,7,6,6,6,6,7,6,6
00276E,00276E,Complete,Passed,2,-205,7,7,7,7,7,7,7,7,7,7,7,7
00278A,00278A,Complete,Passed,2,-176,7,7,7,7,7,7,7,7,7,7,7,7
00279V,00279V,Complete,Passed,2,-190,7,7,7,7,7,7,6,7,6,7,7,6
00281L,00281L,Complete,Passed,2,-212,7,7,7,7,7,5,5,7,6,7,7,6
00283H,00283H,Complete,Passed,2,-189,7,7,7,7,7,7,7,7,7,7,7,7
00285D,00285D,Complete,Passed,2,-202,7,7,7,7,7,7,7,7,7,7,7,7
00286B,00286B,Complete,Passed,2,-136,6,6,7,7,7,3,4,7,5,7,6,6
00289S,00289S,Complete,Passed,2,-197,7,7,7,7,7,6,4,7,5,7,7,6
00292G,00292G,Complete,Passed,2,-187,7,7,7,7,7,6,6,7,7,7,7,5
00296V,00296V,Complete,Passed,2,-177,7,7,7,7,7,6,6,7,7,7,7,7
00298R,00298R,Complete,Passed,2,-183,7,7,7,7,7,6,5,6,5,7,7,5
00302G,00302G,Complete,Passed,2,-197,5,5,7,7,4,7,7,5,7,5,5,7
00304C,00304C,Complete,Passed,2,-136,7,7,7,7,7,7,7,7,7,7,7,7
00305A,00305A,Complete,Passed,2,-197,7,7,7,7,7,7,7,7,7,7,7,7
00310H,00310H,Complete,Passed,2,-190,6,6,6,6,6,6,6,6,6,6,6,6
00313B,00313B,Complete,Passed,2,-183,7,7,7,7,7,7,7,7,7,7,7,7
00314W,00314W,Complete,Passed,2,-186,7,7,7,7,7,7,6,6,6,7,7,6
00316S,00316S,Complete,Passed,2,-189,6,6,5,5,6,5,5,5,6,6,5,5
00318O,00318O,Complete,Passed,2,-206,7,7,7,7,7,7,7,7,7,7,7,7
00319M,00319M,Complete,Passed,2,-201,7,7,7,7,7,7,7,7,7,7,7,7
00321C,00321C,Complete,Passed,2,-143,7,7,6,7,7,6,6,7,7,7,7,7
00324T,00324T,Complete,Passed,2,-186,2,2,2,2,2,2,2,2,2,2,2,2
00325R,00325R,Complete,Passed,2,-217,7,7,6,7,7,5,5,7,5,7,5,5
00329J,00329J,Complete,Passed,2,-238,7,7,7,7,7,7,7,7,7,7,7,7
00335O,00335O,Complete,Passed,2,-210,7,7,7,7,7,7,7,7,7,7,7,7
00341T,00341T,Complete,Passed,2,-192,7,7,7,7,7,7,7,7,7,7,7,7
00345L,00345L,Complete,Passed,2,-187,7,7,7,7,7,6,5,7,6,7,7,6
00348F,00348F,Complete,Passed,2,-203,7,7,6,7,7,5,6,7,5,7,6,6
00349D,00349D,Complete,Passed,2,-173,6,6,5,6,6,5,5,6,6,6,6,6
00352O,00352O,Complete,Passed,2,-192,1,1,1,1,1,1,1,1,1,1,1,1
00354K,00354K,Complete,Passed,2,-144,5,3,5,4,6,4,4,5,3,6,4,4
00355I,00355I,Complete,Passed,2,-196,7,7,7,7,7,7,7,4,7,7,7,7
00356G,00356G,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,6,7
00359A,00359A,Complete,Passed,2,-106,7,7,7,7,7,7,7,7,7,7,7,7
00361N,00361N,Complete,Passed,2,-189,7,7,7,7,7,7,7,7,7,7,7,7
00363J,00363J,Complete,Passed,2,-182,7,7,7,7,7,6,6,5,7,7,5,7
00364H,00364H,Complete,Passed,2,-204,6,6,6,6,4,6,7,6,6,6,6,6
00365F,00365F,Complete,Passed,2,-184,7,7,7,7,7,5,3,3,5,7,3,2
00366D,00366D,Complete,Passed,2,-188,7,7,7,7,7,7,6,7,7,7,7,6
00369U,00369U,Complete,Passed,2,-192,7,7,7,7,7,7,7,7,7,7,7,7
00370M,00370M,Complete,Passed,2,-194,7,7,7,7,7,6,6,5,6,7,7,6
00376A,00376A,Complete,Passed,2,-196,4,4,6,4,4,4,4,5,4,4,4,4
00384B,00384B,Complete,Passed,2,-197,7,7,5,5,7,7,7,5,7,7,5,7
00388Q,00388Q,Complete,Passed,2,-186,6,7,7,7,7,6,6,6,6,6,6,6
00390G,00390G,Complete,Passed,2,-205,7,7,3,1,7,4,4,1,4,7,1,4
00391E,00391E,Complete,Passed,2,-164,7,7,7,7,7,7,7,7,7,7,7,7
00394V,00394V,Complete,Passed,2,-183,4,4,3,3,4,4,4,4,5,5,4,4
00396R,00396R,Complete,Passed,2,-194,7,7,7,7,7,5,5,7,7,7,7,7
00397P,00397P,Complete,Passed,2,-201,1,1,1,2,1,2,2,1,1,1,1,1
00398N,00398N,Complete,Passed,2,-188,7,7,7,7,7,6,6,7,6,7,6,6
00399L,00399L,Complete,Passed,2,-190,7,4,7,7,4,4,4,5,4,7,7,6
00404V,00404V,Complete,Passed,2,-189,7,7,7,7,7,6,6,6,6,7,5,6
00406R,00406R,Complete,Passed,2,-194,7,7,7,7,7,7,7,7,7,7,7,7
00410D,00410D,Complete,Passed,2,-184,6,5,6,6,5,4,4,6,4,6,6,4
00411B,00411B,Complete,Passed,2,-200,7,7,7,7,7,7,7,7,7,7,7,7
00413U,00413U,Complete,Passed,2,-191,7,7,7,7,7,7,7,7,7,7,7,7
00414S,00414S,Complete,Passed,2,-209,1,1,1,1,1,1,1,1,1,1,1,1
00416O,00416O,Complete,Passed,2,-187,7,7,7,6,6,6,6,5,6,6,6,6
00418K,00418K,Complete,Passed,2,-177,7,7,7,7,7,7,7,7,7,7,6,6
00420A,00420A,Complete,Passed,2,-194,7,7,7,7,7,7,7,7,7,7,7,7
00422T,00422T,Complete,Passed,2,-188,7,7,7,7,7,5,4,6,6,7,7,7
00428H,00428H,Complete,Passed,2,-194,7,5,6,6,6,4,6,6,5,5,5,5
00432Q,00432Q,Complete,Passed,2,-186,3,3,5,5,3,3,3,3,3,3,5,4
00434M,00434M,Complete,Passed,2,-194,6,7,7,7,7,7,7,7,7,7,7,7
00438E,00438E,Complete,Passed,2,-185,6,6,6,7,4,4,5,1,6,2,6,6
00445H,00445H,Complete,Passed,2,-190,7,7,7,7,7,6,5,7,6,7,6,5
00446F,00446F,Complete,Passed,2,-185,7,7,7,7,6,5,4,7,6,7,7,3
00453I,00453I,Complete,Passed,2,-185,7,7,5,5,7,4,4,4,5,7,4,5
00455E,00455E,Complete,Passed,2,-203,6,6,6,5,5,6,6,6,6,6,6,6
00457A,00457A,Complete,Passed,2,-186,7,7,7,7,7,7,4,7,4,7,7,4
00460L,00460L,Complete,Passed,2,-175,7,7,7,7,7,7,7,7,6,7,7,6
00467U,00467U,Complete,Passed,2,-215,7,7,7,7,7,6,5,7,6,7,6,6
00468S,00468S,Complete,Passed,2,-130,7,7,5,5,7,4,4,5,5,7,4,5
00470I,00470I,Complete,Passed,2,-199,2,1,3,3,2,3,3,3,2,2,2,3
00471G,00471G,Complete,Passed,2,-195,7,7,7,7,7,7,7,7,7,7,7,7
00472E,00472E,Complete,Passed,2,-188,7,7,6,6,6,6,6,5,6,7,6,4
00473C,00473C,Complete,Passed,2,-184,7,7,7,7,7,7,7,7,7,7,7,7
00474A,00474A,Complete,Passed,2,-181,6,6,6,6,7,5,6,6,6,7,6,6
00476T,00476T,Complete,Passed,2,-194,6,6,4,5,5,6,6,6,6,5,6,6
00479N,00479N,Complete,Passed,2,-190,7,7,7,7,7,7,7,7,7,7,7,7
00480F,00480F,Complete,Passed,2,-184,5,5,4,4,5,4,4,4,4,5,4,4
00482B,00482B,Complete,Passed,2,-193,6,6,5,4,7,6,6,7,7,7,5,6
00486Q,00486Q,Complete,Passed,2,-192,7,7,5,5,7,6,6,4,7,4,4,7
00487O,00487O,Complete,Passed,2,-184,6,7,6,6,6,6,6,5,7,6,6,7
00488M,00488M,Complete,Passed,2,-190,7,7,7,7,7,6,6,7,6,7,7,6
00489K,00489K,Complete,Passed,2,-134,6,6,6,6,6,6,6,6,6,6,6,6
00491A,00491A,Complete,Passed,2,-171,7,7,7,6,7,7,7,6,7,7,5,7
00493T,00493T,Complete,Passed,2,-155,7,7,7,7,7,7,7,6,6,7,7,6
00494R,00494R,Complete,Passed,2,-193,7,7,7,7,7,7,7,7,7,7,7,7
00495P,00495P,Complete,Passed,2,-185,7,7,7,7,7,6,6,7,6,7,7,6
00500C,00500C,Complete,Passed,2,-220,7,7,7,7,7,7,7,7,7,7,7,7
00503T,00503T,Complete,Passed,2,-202,7,7,7,7,7,6,7,5,7,7,5,6
00506N,00506N,Complete,Passed,2,-191,7,7,7,7,7,7,7,7,7,7,7,7
00512S,00512S,Complete,Passed,2,-183,7,7,7,7,7,6,6,7,6,7,7,6
00516K,00516K,Complete,Passed,2,-191,6,6,7,7,7,7,7,7,7,7,7,7
00519E,00519E,Complete,Passed,2,-189,5,5,5,3,5,4,3,4,4,6,5,3
00522P,00522P,Complete,Passed,2,-189,7,7,7,7,7,4,1,7,1,7,7,1
00524L,00524L,Complete,Passed,2,-191,7,7,7,7,7,6,6,7,6,7,7,6
00528D,00528D,Complete,Passed,2,-163,7,7,7,7,7,7,7,7,7,7,7,7
00529B,00529B,Complete,Passed,2,-191,6,6,7,7,5,7,7,7,7,7,7,7
00533K,00533K,Complete,Passed,2,-148,7,7,7,7,7,7,7,7,7,7,7,7
00535G,00535G,Complete,Passed,2,-188,6,3,3,3,6,3,4,4,5,6,5,4
00536E,00536E,Complete,Passed,2,-222,7,7,5,6,7,6,5,4,6,7,5,6
00537C,00537C,Complete,Passed,2,-155,7,7,7,6,7,6,7,7,7,7,7,7
00543H,00543H,Complete,Passed,2,-187,4,4,5,5,4,5,4,5,4,5,5,5
00544F,00544F,Complete,Passed,2,-191,7,7,6,6,7,7,7,6,6,7,6,7
00545D,00545D,Complete,Passed,2,-184,7,7,7,7,7,7,7,7,7,7,7,7
00547W,00547W,Complete,Passed,2,-187,7,7,7,7,7,6,6,7,7,7,7,6
00548U,00548U,Complete,Passed,2,-194,7,7,7,7,7,7,7,7,7,7,7,7
00550K,00550K,Complete,Passed,2,-166,7,7,7,7,7,3,5,7,4,7,7,5
00551I,00551I,Complete,Passed,2,-194,7,7,7,7,7,6,6,6,7,7,6,6
00553E,00553E,Complete,Passed,2,-191,7,7,7,7,7,7,7,7,7,7,7,7
00554C,00554C,Complete,Passed,2,-204,2,2,3,2,3,4,5,4,6,3,4,6
00555A,00555A,Complete,Passed,2,-209,7,7,7,7,7,6,6,7,7,7,7,6
00557T,00557T,Complete,Passed,2,-200,7,7,7,7,7,6,7,7,7,7,7,7
00560H,00560H,Complete,Passed,2,-158,4,4,6,4,4,4,4,5,4,5,6,4
00562D,00562D,Complete,Passed,2,-141,7,7,6,7,7,7,7,5,7,7,6,7
00565U,00565U,Complete,Passed,2,-187,7,7,7,7,7,7,7,7,7,7,7,7
00566S,00566S,Complete,Passed,2,-214,7,7,7,7,7,7,7,6,7,7,7,6
00568O,00568O,Complete,Passed,2,-161,7,7,7,7,7,7,7,7,7,7,7,7
00571C,00571C,Complete,Passed,2,-204,1,1,1,1,1,1,1,1,1,1,1,1
00576P,00576P,Complete,Passed,2,-153,7,7,6,6,7,6,6,6,6,6,6,6
00578L,00578L,Complete,Passed,2,-169,7,7,6,5,6,6,6,6,7,7,6,6
00579J,00579J,Complete,Passed,2,-183,5,6,7,7,6,6,6,5,6,7,4,5
00580B,00580B,Complete,Passed,2,-188,7,7,6,7,7,6,6,5,6,7,6,6
00585O,00585O,Complete,Passed,2,-194,7,7,6,7,7,5,5,5,6,7,6,5
00589G,00589G,Complete,Passed,2,-193,7,7,7,7,7,5,6,7,6,7,6,5
00590V,00590V,Complete,Passed,2,-206,7,7,7,6,7,7,6,6,6,6,6,7
00591T,00591T,Complete,Passed,2,-188,7,6,6,6,6,6,6,6,6,7,6,6
00592R,00592R,Complete,Passed,2,-189,7,7,7,7,7,6,6,7,6,7,7,6
00594N,00594N,Complete,Passed,2,-189,7,7,7,7,7,7,7,7,7,7,7,7
00598F,00598F,Complete,Passed,2,-163,3,5,4,5,3,5,6,4,4,3,4,5
00599D,00599D,Complete,Passed,2,-172,7,7,7,6,6,5,7,7,7,7,7,7
00601T,00601T,Complete,Passed,2,-189,7,7,7,7,7,6,6,5,6,7,6,6
00602R,00602R,Complete,Passed,2,-193,6,7,7,7,7,6,7,7,7,7,7,7
00608F,00608F,Complete,Passed,2,-148,7,7,7,7,7,7,7,7,7,7,7,7
00610S,00610S,Complete,Passed,2,-200,7,7,7,7,7,7,7,7,7,7,7,7
00611Q,00611Q,Complete,Passed,2,-193,7,7,7,7,7,6,6,6,6,7,6,6
00612O,00612O,Complete,Passed,2,-135,2,1,1,1,1,1,1,1,2,2,2,2
00614K,00614K,Complete,Passed,2,-185,7,7,7,7,7,6,6,7,7,7,6,6
00615I,00615I,Complete,Passed,2,-180,7,7,7,7,7,7,7,7,7,7,7,7
00616G,00616G,Complete,Passed,2,-198,7,7,5,4,7,5,5,4,5,7,5,5
00619A,00619A,Complete,Passed,2,-189,6,6,6,6,6,6,6,6,6,6,5,6
00621N,00621N,Complete,Passed,2,-213,7,7,7,7,7,6,6,7,7,7,7,6
00624H,00624H,Complete,Passed,2,-188,7,7,7,7,7,7,7,7,7,7,7,7
00625F,00625F,Complete,Passed,2,-158,7,7,6,6,7,5,6,6,6,7,7,7
00626D,00626D,Complete,Passed,2,-199,7,7,7,7,7,7,7,7,5,7,7,6
00627B,00627B,Complete,Passed,2,-190,4,3,6,6,3,2,2,4,2,4,6,1
00628W,00628W,Complete,Passed,2,-186,7,7,7,7,7,7,7,7,7,7,7,7
00634E,00634E,Complete,Passed,2,-200,4,6,6,6,6,4,6,6,6,6,6,6
00635C,00635C,Complete,Passed,2,-182,6,6,5,5,6,5,5,5,6,6,6,6
00637V,00637V,Complete,Passed,2,-206,7,7,7,7,7,7,7,7,7,7,7,7
00638T,00638T,Complete,Passed,2,-153,5,5,6,5,6,5,5,5,5,6,5,4
00639R,00639R,Complete,Passed,2,-194,7,7,7,7,7,7,7,7,7,7,7,7
00642F,00642F,Complete,Passed,2,-183,7,7,7,7,7,7,7,7,7,7,7,7
00643D,00643D,Complete,Passed,2,-184,7,7,5,5,7,5,6,6,6,7,6,6
00644B,00644B,Complete,Passed,2,-185,7,7,6,6,6,6,4,6,6,7,4,6
00645W,00645W,Complete,Passed,2,-203,7,7,7,7,7,7,7,7,7,7,7,7
00647S,00647S,Complete,Passed,2,-202,7,7,7,7,7,6,5,7,6,7,7,7
00648Q,00648Q,Complete,Passed,2,-209,6,6,6,6,6,6,6,6,6,6,6,6
00649O,00649O,Complete,Passed,2,-146,7,7,7,7,7,7,7,7,7,7,7,7
00650G,00650G,Complete,Passed,2,-191,7,7,7,6,7,7,7,7,7,7,7,7
00651E,00651E,Complete,Passed,2,-156,7,7,7,7,7,7,7,7,7,7,7,7
00653A,00653A,Complete,Passed,2,-174,7,7,7,7,7,7,7,7,7,7,7,7
00657P,00657P,Complete,Passed,2,-185,7,7,7,7,7,4,4,7,5,7,7,4
00658N,00658N,Complete,Passed,2,-201,7,7,7,7,7,6,6,7,7,7,7,7
00661B,00661B,Complete,Passed,2,-141,6,6,6,5,6,6,5,5,5,6,6,6
00662W,00662W,Complete,Passed,2,-196,7,7,7,7,7,7,7,7,7,7,7,7
00663U,00663U,Complete,Passed,2,-193,7,7,7,7,7,7,7,7,7,7,7,7
